Timestamp,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,ShockPot1,ShockPot2,BrakePressure,qw,qx,qy,qz
961578,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.61,-341.45,0.00,0.00,0.00,0.00
1006578,-0.09,-1.90,9.41,0.00,0.00,0.00,0.61,0.55,-341.45,0.00,0.00,0.00,0.00
1011578,-0.12,-1.86,9.37,0.00,0.00,0.00,0.61,0.55,-341.45,0.00,0.00,0.00,0.00
1116578,-0.12,-1.94,9.33,0.00,0.00,0.00,0.61,0.55,-341.45,0.15,-0.02,-0.10,0.98
1246578,-0.01,-1.90,9.52,0.06,-0.02,0.09,0.61,0.55,-341.45,0.15,-0.02,-0.09,0.98
1356578,-0.09,-1.86,9.44,-0.02,-0.02,-0.03,0.61,0.55,-341.45,0.15,-0.02,-0.09,0.98
1471578,-0.05,-1.86,9.41,-0.03,-0.02,0.04,0.61,0.55,-341.45,0.16,-0.02,-0.09,0.98
1601578,-0.09,-1.86,9.41,0.01,0.00,0.02,0.67,0.55,-341.45,0.16,-0.02,-0.09,0.98
1711578,-0.05,-1.79,9.52,0.00,0.04,-0.02,0.61,0.55,-341.45,0.16,-0.02,-0.09,0.98
1826578,-0.09,-1.82,9.33,0.00,0.04,-0.02,0.61,0.55,-341.45,0.16,-0.02,-0.09,0.98
1936578,-0.09,-1.79,9.44,-0.03,-0.02,-0.03,0.61,0.55,-341.45,0.16,-0.02,-0.09,0.98
2051578,-0.12,-1.71,9.41,-0.02,0.02,0.00,0.61,0.55,-341.45,0.16,-0.02,-0.09,0.98
2171578,-0.12,-1.71,9.41,-0.02,0.04,-0.03,0.67,0.55,-341.45,0.16,-0.02,-0.09,0.98
2286578,-0.12,-1.75,9.44,0.06,-0.02,0.04,0.61,0.55,-341.45,0.16,-0.02,-0.09,0.98
2401578,-0.12,-1.71,9.44,0.02,0.00,-0.01,0.61,0.55,-341.45,0.15,-0.02,-0.09,0.98
2516578,-0.12,-1.71,9.44,0.03,0.03,-0.01,0.61,0.55,-341.45,0.15,-0.02,-0.09,0.98
2631578,-0.16,-1.67,9.41,0.03,0.05,0.03,0.61,0.55,-343.79,0.15,-0.02,-0.09,0.98
2766578,-0.12,-1.63,9.48,-0.00,0.02,-0.02,0.61,0.55,-343.79,0.15,-0.02,-0.08,0.98
2876578,-0.16,-1.60,9.48,-0.03,0.01,-0.04,0.61,0.55,-341.45,0.15,-0.02,-0.08,0.98
2981578,-0.09,-1.48,9.52,-0.03,0.01,-0.04,0.61,0.55,-341.45,0.15,-0.02,-0.08,0.98
3096578,-0.35,-1.29,9.09,-0.03,-0.07,-0.45,0.61,0.55,-341.45,0.15,-0.03,-0.06,0.99
3201578,-0.05,-1.18,10.20,-0.03,-0.07,-0.45,0.61,0.55,-341.45,0.15,-0.02,-0.05,0.99
3321578,-0.12,-0.95,9.64,-0.06,-0.18,-0.01,0.61,0.49,-341.45,0.14,-0.01,-0.04,0.99
3451578,-0.12,-0.68,9.48,-0.02,-0.08,-0.10,0.61,0.55,-341.45,0.14,-0.01,-0.03,0.99
3571578,-0.12,-0.68,9.68,-0.05,-0.11,0.01,0.61,0.55,-341.45,0.14,-0.01,-0.03,0.99
3681578,-0.05,-0.75,9.63,0.00,0.04,0.01,0.61,0.55,-341.45,0.14,-0.01,-0.03,0.99
3812149,-0.05,-0.71,9.63,0.02,0.07,-0.03,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
3921578,-0.05,-0.71,9.59,0.00,0.01,0.01,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
4036578,-0.05,-0.71,9.59,0.03,0.04,0.02,0.61,0.49,-341.45,0.17,-0.01,-0.04,0.99
4146578,-0.05,-0.71,9.59,0.03,0.01,-0.02,0.61,0.55,-341.45,0.17,-0.01,-0.04,0.99
4251578,-0.01,-0.68,9.59,0.03,0.01,-0.02,0.61,0.55,-341.45,0.17,-0.01,-0.04,0.99
4366578,-0.01,-0.75,9.55,0.01,-0.00,0.05,0.61,0.55,-341.45,0.17,-0.01,-0.04,0.99
4476578,-0.05,-0.75,9.52,-0.02,0.04,0.02,0.61,0.55,-341.45,0.17,-0.01,-0.04,0.99
4591578,-0.05,-0.79,9.59,0.05,0.04,-0.02,0.61,0.55,-341.45,0.17,-0.01,-0.04,0.99
4711578,-0.05,-0.79,9.59,-0.03,0.00,0.05,0.61,0.55,-341.45,0.17,-0.01,-0.04,0.99
4821578,-0.01,-0.79,9.55,0.02,0.00,0.01,0.61,0.55,-341.45,0.17,-0.01,-0.04,0.99
4946578,-0.01,-0.75,9.60,0.02,0.06,-0.03,0.61,0.55,-343.79,0.16,-0.01,-0.04,0.99
5056578,-0.01,-0.79,9.55,0.05,-0.02,-0.10,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
5171578,-0.05,-0.79,9.56,-0.03,-0.01,-0.02,0.61,0.61,-341.45,0.16,-0.01,-0.04,0.99
5291578,-0.05,-0.79,9.59,-0.03,0.04,-0.02,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
5401578,-0.01,-0.79,9.55,0.01,-0.00,-0.02,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
5516578,-0.01,-0.79,9.55,0.01,0.03,-0.01,0.61,0.55,-343.79,0.16,-0.01,-0.04,0.99
5632250,-0.01,-0.79,9.55,0.00,0.00,0.06,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
5746578,0.03,-0.79,9.55,-0.04,-0.03,0.03,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
5861578,-0.01,-0.83,9.56,-0.01,-0.02,0.06,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
5971578,0.14,-0.95,9.79,-0.05,-0.05,0.02,0.61,0.55,-341.45,0.16,-0.01,-0.04,0.99
6081578,0.03,-0.87,9.56,-0.02,-0.04,-0.11,0.61,0.61,-341.45,0.16,-0.00,-0.05,0.99
6201578,0.18,-0.87,9.52,0.11,0.06,-0.06,0.61,0.55,-341.45,0.16,-0.00,-0.05,0.99
6326578,0.14,-0.95,9.60,-0.02,-0.02,-0.01,0.61,0.55,-341.45,0.16,-0.00,-0.05,0.99
6446578,0.18,-0.87,9.68,0.07,0.04,0.04,0.61,0.55,-341.45,0.16,-0.01,-0.05,0.98
