Timestamp,ax,ay,az,qw,qx,qy,qz
1187011,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1292011,0.99,0.36,9.41,0.96,0.02,-0.05,0.29
1367011,1.03,0.36,9.48,0.96,0.02,-0.05,0.29
1427011,0.80,0.17,9.64,0.96,0.02,-0.05,0.29
1492011,0.87,0.09,9.41,0.96,0.02,-0.05,0.29
1562011,0.84,-0.10,9.67,0.96,0.01,-0.05,0.29
1627011,1.03,0.13,9.63,0.96,0.02,-0.05,0.29
1697011,1.14,0.47,9.41,0.95,0.02,-0.05,0.29
1767011,0.95,0.28,9.37,0.95,0.02,-0.05,0.29
1842011,0.87,0.20,9.64,0.95,0.02,-0.05,0.29
1912011,0.99,0.17,9.52,0.95,0.02,-0.05,0.29
1977011,1.07,0.32,9.44,0.95,0.02,-0.05,0.29
2047011,0.99,0.20,9.55,0.95,0.02,-0.05,0.29
2117011,0.99,0.20,9.44,0.95,0.03,-0.05,0.29
2187011,0.99,0.28,9.44,0.95,0.03,-0.05,0.29
2252011,1.07,0.32,9.52,0.95,0.03,-0.05,0.29
2317011,1.03,0.28,9.52,0.95,0.02,-0.05,0.29
2387034,0.95,0.20,9.52,0.95,0.02,-0.05,0.29
2462011,0.99,0.20,9.48,0.95,0.02,-0.05,0.29
2527011,1.03,0.28,9.55,0.95,0.02,-0.05,0.29
2597011,0.95,0.13,9.52,0.95,0.02,-0.04,0.29
2677286,0.95,0.20,9.56,0.95,0.02,-0.04,0.29
2737011,0.87,0.24,9.41,0.95,0.02,-0.04,0.29
2812011,0.87,0.13,9.52,0.95,0.02,-0.04,0.30
2882011,0.80,0.13,9.52,0.95,0.02,-0.04,0.30
2952011,0.87,0.17,9.44,0.95,0.02,-0.04,0.30
3027011,0.84,0.09,9.59,0.95,0.02,-0.04,0.30
3097011,0.91,0.13,9.37,0.95,0.02,-0.04,0.30
3172011,0.87,0.13,9.56,0.95,0.02,-0.04,0.30
3247011,0.87,0.20,9.48,0.95,0.02,-0.04,0.30
3317011,0.87,0.17,9.52,0.95,0.02,-0.04,0.30
3382011,0.84,0.13,9.59,0.95,0.02,-0.04,0.30
3457011,0.84,0.13,9.56,0.95,0.02,-0.04,0.30
3522011,0.87,0.09,9.59,0.95,0.02,-0.04,0.30
3592011,0.91,0.17,9.44,0.95,0.02,-0.04,0.30
3657011,0.87,0.13,9.56,0.95,0.02,-0.04,0.30
3727011,0.87,0.09,9.48,0.95,0.02,-0.04,0.30
3797011,0.87,0.13,9.68,0.95,0.02,-0.04,0.30
3867011,0.91,0.28,9.52,0.95,0.02,-0.04,0.30
3942011,0.95,0.17,9.44,0.95,0.02,-0.04,0.30
4012011,0.87,0.17,9.33,0.95,0.02,-0.04,0.30
4087011,0.68,-0.10,9.71,0.95,0.02,-0.04,0.30
4162011,0.87,0.09,9.25,0.95,0.02,-0.04,0.30
4237011,0.87,0.20,9.79,0.95,0.02,-0.04,0.29
4317045,0.91,0.24,9.48,0.95,0.02,-0.04,0.29
4382011,0.87,0.09,9.52,0.95,0.02,-0.04,0.29
4452011,0.91,0.20,9.41,0.95,0.02,-0.04,0.30
4527011,0.91,0.28,9.41,0.95,0.03,-0.04,0.30
4597011,0.87,0.09,9.79,0.95,0.02,-0.04,0.29
4672011,0.95,0.24,9.68,0.95,0.03,-0.04,0.30
4742011,1.07,0.36,8.91,0.95,0.04,-0.04,0.30
4812011,0.95,0.32,9.44,0.95,0.03,-0.04,0.29
4887011,1.03,0.24,9.98,0.95,0.03,-0.04,0.29
4957011,1.03,0.36,9.29,0.95,0.03,-0.05,0.29
5032011,0.99,0.32,9.29,0.96,0.02,-0.05,0.29
5107011,0.95,0.17,9.94,0.96,0.01,-0.05,0.28
5182011,0.49,-0.48,9.52,0.96,0.01,-0.05,0.28
5267011,0.80,-0.52,9.82,0.96,0.01,-0.05,0.28
5342011,1.14,0.05,9.41,0.96,0.02,-0.05,0.29
5407011,1.14,0.74,9.18,0.96,0.02,-0.05,0.29
5477011,1.22,0.28,10.14,0.96,0.02,-0.05,0.29
5547011,1.33,0.05,8.91,0.95,0.02,-0.05,0.29
5617011,0.68,0.20,9.29,0.95,0.03,-0.05,0.29
5687011,1.18,0.09,10.05,0.95,0.03,-0.05,0.30
5757011,1.22,0.82,10.21,0.95,0.03,-0.06,0.30
5822011,1.68,0.55,9.02,0.95,0.04,-0.06,0.31
5902011,1.41,0.24,9.75,0.95,0.03,-0.08,0.30
5977011,2.02,-0.37,9.56,0.95,0.01,-0.09,0.30
6042011,1.45,-0.83,9.60,0.95,-0.01,-0.10,0.30
6107011,1.79,-1.41,8.68,0.94,-0.03,-0.12,0.31
6182011,2.18,-1.98,9.25,0.94,-0.04,-0.13,0.32
6252011,2.21,-2.21,9.59,0.94,-0.05,-0.14,0.32
6317011,2.29,-1.94,8.63,0.93,-0.06,-0.16,0.32
6397011,2.67,-2.48,7.95,0.93,-0.07,-0.17,0.33
6467011,2.56,-3.20,8.25,0.92,-0.09,-0.17,0.34
6537011,2.86,-4.55,8.25,0.91,-0.11,-0.16,0.35
6607011,1.26,-1.82,8.25,0.90,-0.11,-0.15,0.40
6682011,1.98,-3.09,9.41,0.89,-0.10,-0.16,0.42
6767011,1.48,-2.71,9.25,0.89,-0.09,-0.16,0.42
6832011,1.87,-3.05,8.75,0.89,-0.07,-0.16,0.42
6907011,2.29,-2.13,9.33,0.90,-0.04,-0.15,0.41
6977011,2.67,-1.75,9.52,0.90,-0.05,-0.15,0.40
