Timestamp,CarRoll,CarPitch,CarYaw,RollGrad,ax,ay,az,ForwardAccel,LateralAccel,HeaveAccel,PitchRate,RollRate,YawRate,qw,qx,qy,qz,ShockPot1,ShockPot2,BrakePressure
1970-01-01 00:00:04.766,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.23,0.67,155
1970-01-01 00:00:04.823,0.00,0.00,0.00,0.00,-1.97,0.86,-9.32,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.29,0.61,155
1970-01-01 00:00:04.858,0.00,0.00,0.00,0.00,-1.97,0.86,-9.32,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.36,0.67,159
1970-01-01 00:00:04.914,0.00,0.00,0.00,0.00,-1.97,0.86,-9.32,0.00,0.86,0.00,-1.34,-9.96,2.91,0.00,0.00,0.00,0.00,61.29,0.49,141
1970-01-01 00:00:05.007,0.00,0.00,0.00,0.00,-1.05,0.25,-12.69,1.12,0.25,2.41,-1.23,-10.41,1.23,0.00,0.00,0.00,0.00,61.36,0.61,153
1970-01-01 00:00:05.106,165.44,-76.00,-172.05,88.44,-2.89,-0.86,-8.82,-0.30,-0.86,1.55,0.34,-2.24,3.47,0.66,-0.74,-0.10,0.07,61.23,0.67,157
1970-01-01 00:00:05.176,168.85,-76.07,-176.15,-231.83,0.18,0.33,-8.82,-0.30,0.33,1.55,1.01,5.60,4.36,0.66,-0.75,-0.10,0.07,61.29,0.61,155
1970-01-01 00:00:05.257,170.17,-76.12,-177.40,191.05,-0.63,-0.40,-8.75,-0.25,-0.40,4.33,-1.68,-11.86,3.92,0.66,-0.74,-0.09,0.08,61.17,0.61,156
1970-01-01 00:00:05.327,170.81,-76.12,-178.04,-354.30,-1.05,0.21,-10.66,-0.25,0.21,4.33,-1.23,-7.16,4.48,0.66,-0.74,-0.09,0.08,61.36,0.61,152
1970-01-01 00:00:05.387,170.81,-76.12,-178.04,65.17,-2.32,-1.17,-9.78,-0.25,-1.17,4.33,-0.22,-1.34,6.83,0.66,-0.74,-0.09,0.08,61.23,0.67,160
1970-01-01 00:00:05.468,171.69,-76.07,-178.70,113.88,-1.86,-0.67,-6.37,0.51,-0.67,2.95,0.56,-5.60,-4.03,0.66,-0.74,-0.09,0.08,61.29,0.67,154
1970-01-01 00:00:05.536,171.87,-76.10,-178.79,-52.94,-1.62,1.44,-7.83,0.51,1.44,2.95,-0.56,1.57,4.59,0.66,-0.74,-0.09,0.08,61.23,0.73,155
1970-01-01 00:00:05.608,172.08,-76.11,-179.11,-64.95,-1.93,1.17,-10.78,0.51,1.17,2.95,0.00,4.03,-3.02,0.66,-0.74,-0.09,0.08,61.17,0.67,151
1970-01-01 00:00:05.677,172.32,-76.08,-179.23,-74.91,-1.20,1.02,-8.78,0.51,1.02,2.95,0.56,10.52,-5.71,0.66,-0.74,-0.09,0.08,61.29,0.73,157
1970-01-01 00:00:05.747,172.29,-76.09,-179.44,234.70,0.14,-0.32,-12.85,0.51,-0.32,2.95,0.45,10.41,-6.94,0.66,-0.74,-0.09,0.08,61.17,0.67,153
1970-01-01 00:00:05.817,172.78,-76.10,-179.99,59.39,-1.93,-1.28,-8.71,0.51,-1.28,2.95,-0.45,-1.79,2.69,0.66,-0.74,-0.09,0.08,61.54,0.67,160
1970-01-01 00:00:05.878,173.06,-76.13,179.70,-74.96,-0.82,1.02,-8.21,0.51,1.02,2.95,0.34,1.45,7.16,0.66,-0.74,-0.09,0.08,61.36,0.61,156
1970-01-01 00:00:05.947,173.22,-76.08,179.39,-88.13,0.44,0.86,-9.79,0.51,0.86,2.95,-0.56,-1.12,4.81,0.66,-0.75,-0.09,0.08,61.36,0.67,153
1970-01-01 00:00:06.018,173.45,-76.12,179.39,-36.42,-2.16,2.09,-9.90,1.19,2.09,2.12,-1.68,-13.99,3.58,0.66,-0.74,-0.09,0.08,61.36,0.55,166
1970-01-01 00:00:06.098,173.67,-76.08,179.19,-1298.43,-1.55,0.06,-12.20,0.70,0.06,2.08,-0.11,-11.64,-2.35,0.66,-0.74,-0.09,0.08,61.36,0.67,160
1970-01-01 00:00:06.178,173.93,-76.12,179.08,-46.73,-1.43,1.63,-9.93,-0.13,1.63,3.37,-0.34,-4.59,3.47,0.66,-0.74,-0.09,0.08,61.23,0.67,156
1970-01-01 00:00:06.248,173.93,-76.12,179.08,-158.42,-1.55,0.48,-9.78,-0.13,0.48,3.37,0.22,-3.58,-2.24,0.66,-0.74,-0.09,0.08,61.42,0.61,154
1970-01-01 00:00:06.316,173.93,-76.12,179.08,-433.01,-0.59,0.18,-11.50,-0.13,0.18,3.37,-0.22,-5.82,5.71,0.66,-0.74,-0.09,0.08,61.11,0.67,158
1970-01-01 00:00:06.376,173.93,-76.12,179.08,78.26,-2.16,-0.97,-10.29,-0.13,-0.97,3.37,-0.67,3.80,4.48,0.66,-0.74,-0.09,0.08,61.17,0.67,159
1970-01-01 00:00:06.448,174.75,-76.01,178.25,810.80,-0.29,-0.09,-12.89,-0.13,-0.09,3.37,-0.78,-2.01,-0.90,0.66,-0.74,-0.09,0.08,61.42,0.67,153
1970-01-01 00:00:06.518,175.06,-76.08,178.03,-304.32,-1.78,0.25,-6.83,1.16,0.25,-3.34,-0.56,-2.91,8.50,0.66,-0.74,-0.09,0.08,61.42,0.67,157
1970-01-01 00:00:06.596,175.45,-76.08,177.73,811.51,-1.28,-0.09,-8.63,-0.70,-0.09,3.15,-0.34,-4.03,4.70,0.66,-0.74,-0.09,0.08,61.23,0.67,160
1970-01-01 00:00:06.657,175.45,-76.08,177.73,499.39,-1.28,-0.09,-8.63,-0.81,-0.15,1.59,-0.78,-2.69,5.15,0.66,-0.74,-0.09,0.08,61.42,0.61,158
1970-01-01 00:00:06.727,175.81,-76.06,177.40,-304.23,-1.74,0.25,-10.77,-0.81,0.25,1.59,0.45,-0.45,-6.15,0.66,-0.74,-0.09,0.08,61.36,0.67,159
1970-01-01 00:00:06.828,175.92,-76.04,177.14,137.09,-1.82,-0.55,-9.67,0.40,-0.55,0.87,-0.45,-6.71,-1.12,0.66,-0.74,-0.09,0.09,61.17,0.67,156
1970-01-01 00:00:06.906,176.00,-76.07,177.10,-31.77,-1.82,2.39,-10.73,-1.12,2.39,-0.73,-0.22,1.01,4.25,0.66,-0.74,-0.09,0.09,61.29,0.73,141
1970-01-01 00:00:06.978,176.19,-76.04,177.08,120.90,-0.86,-0.63,-8.75,-0.56,-0.63,-0.11,-0.56,-12.65,-6.27,0.66,-0.74,-0.09,0.09,61.29,0.67,160
1970-01-01 00:00:07.048,176.42,-76.03,176.70,-158.23,-0.71,0.48,-12.12,-0.56,0.48,-0.11,0.67,-1.79,-1.68,0.66,-0.74,-0.09,0.09,61.23,0.67,154
1970-01-01 00:00:07.118,176.54,-76.02,176.58,190.81,-2.81,-0.40,-9.40,0.12,-0.40,0.50,0.67,-3.80,-2.35,0.66,-0.74,-0.09,0.09,61.36,0.61,159
1970-01-01 00:00:07.189,176.81,-76.02,176.28,-158.21,-1.01,0.48,-7.06,-0.81,0.48,-1.21,-0.34,1.45,4.81,0.66,-0.74,-0.09,0.09,61.36,0.61,152
1970-01-01 00:00:07.258,177.27,-76.01,176.09,-35.70,-1.43,2.13,-9.71,0.09,2.13,2.00,-1.01,2.35,3.69,0.66,-0.74,-0.09,0.09,60.99,0.55,155
1970-01-01 00:00:07.319,177.56,-75.97,175.94,-432.20,-1.59,0.18,-8.90,0.09,0.18,2.00,-0.22,-0.67,-2.69,0.66,-0.74,-0.09,0.09,61.29,0.67,153
1970-01-01 00:00:07.407,177.92,-75.97,175.85,107.45,-1.17,-0.71,-12.12,0.09,-0.71,2.00,0.00,4.70,1.23,0.66,-0.74,-0.08,0.09,61.36,0.61,157
1970-01-01 00:00:07.468,177.98,-76.01,175.62,120.86,-0.67,-0.63,-7.33,0.09,-0.63,2.00,0.45,7.05,6.49,0.66,-0.74,-0.08,0.09,61.36,0.61,154
1970-01-01 00:00:07.538,178.07,-75.98,175.57,75.10,-2.62,-1.01,-7.25,0.09,-1.01,2.00,-0.22,-7.05,2.80,0.66,-0.74,-0.08,0.09,61.29,0.67,159
1970-01-01 00:00:07.609,178.08,-76.02,175.40,-69.50,0.48,1.09,-10.05,-0.65,1.09,-0.10,-1.23,-10.52,4.25,0.66,-0.74,-0.08,0.09,61.29,0.73,153
1970-01-01 00:00:07.678,178.24,-75.96,175.37,-43.50,-2.58,1.75,-9.06,-0.65,1.75,-0.10,-1.12,-13.99,4.03,0.66,-0.74,-0.08,0.09,61.23,0.67,155
1970-01-01 00:00:07.757,178.35,-75.99,174.99,810.55,-1.17,-0.09,-12.16,-1.16,-0.09,0.02,0.78,-0.90,-2.46,0.66,-0.74,-0.08,0.09,61.29,0.67,160
1970-01-01 00:00:07.819,178.38,-76.00,174.81,72.33,-1.70,-1.05,-7.79,-1.16,-1.05,0.02,0.67,-2.01,2.80,0.66,-0.74,-0.08,0.09,61.29,0.67,154
1970-01-01 00:00:07.889,178.76,-75.93,174.72,101.77,-2.89,-0.75,-9.55,-1.16,-0.75,0.02,-0.11,-11.97,-0.78,0.66,-0.74,-0.08,0.09,61.42,0.61,156
1970-01-01 00:00:07.958,178.67,-75.94,174.58,1388.61,-0.75,-0.05,-6.83,-0.57,-0.05,-2.58,-0.56,-1.90,6.83,0.66,-0.74,-0.08,0.09,61.36,0.67,159
1970-01-01 00:00:08.028,179.09,-75.95,174.39,-45.53,-1.55,1.67,-9.59,-0.57,1.67,-2.58,-0.90,0.90,5.93,0.66,-0.74,-0.08,0.09,61.17,0.67,153
1970-01-01 00:00:08.099,179.00,-75.92,174.27,-186.89,-1.70,0.41,-9.13,0.40,0.41,0.53,-0.11,7.50,-0.67,0.66,-0.74,-0.08,0.09,61.29,0.61,155
1970-01-01 00:00:08.169,179.31,-75.96,174.25,-206.86,-0.09,0.37,-12.00,0.40,0.37,0.53,0.34,10.07,-6.71,0.66,-0.74,-0.08,0.09,61.29,0.61,160
1970-01-01 00:00:08.249,179.19,-75.91,174.02,-74.74,0.75,1.02,-10.29,-0.27,1.02,-0.57,0.34,7.05,-4.92,0.66,-0.74,-0.08,0.09,61.29,0.73,157
1970-01-01 00:00:08.319,179.25,-75.96,173.99,-33.88,-2.66,2.24,-9.59,1.45,2.24,0.96,-1.01,-10.74,2.69,0.66,-0.74,-0.08,0.09,61.11,0.55,154
1970-01-01 00:00:08.389,179.33,-75.98,173.86,88.41,-1.28,-0.86,-8.21,1.45,-0.86,0.96,0.22,-9.85,-5.26,0.66,-0.74,-0.08,0.09,61.29,0.67,157
1970-01-01 00:00:08.459,179.34,-75.94,173.68,59.27,-0.29,-1.28,-12.20,1.45,-1.28,0.96,1.79,1.01,-5.71,0.66,-0.74,-0.08,0.09,61.23,0.67,156
1970-01-01 00:00:08.520,179.30,-75.95,173.64,-57.36,-0.75,1.32,-10.29,1.45,1.32,0.96,-1.45,-15.11,5.15,0.66,-0.74,-0.08,0.09,61.42,0.55,156
1970-01-01 00:00:08.589,179.60,-75.93,173.38,-43.48,-3.77,1.75,-10.24,1.45,1.75,0.96,0.22,-7.05,3.47,0.66,-0.74,-0.08,0.09,61.36,0.67,156
1970-01-01 00:00:08.669,179.49,-75.95,173.21,-113.05,-1.47,0.67,-9.51,1.10,0.67,0.45,0.56,14.44,0.67,0.66,-0.75,-0.08,0.09,61.42,0.61,160
1970-01-01 00:00:08.739,179.71,-75.94,173.03,-303.77,-1.24,0.25,-7.06,1.10,0.25,0.45,0.45,-0.34,-0.78,0.66,-0.74,-0.08,0.09,61.23,0.67,156
